OBJECTID,ACCIDENT_NO,ACCIDENT_DATE,FD_FIRST_DATE_OF_YEAR,FD_YESTERDAY_DATE_OF_YEAR,INCLUDE_IN_EQUIVALENT_PERIOD,ACCIDENT_TIME,NODE_ID,PERSON_ID,SEX,AGE,ROAD_USER_TYPE,ROAD_USER_TYPE_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,NO_OF_VEHICLES,LGA_NAME,STAT_DIV_NAME,NODE_TYPE,NODE_TYPE_DESC,ROAD_NUM,ROAD_TYPE,X,Y,LOCATION_COUNT
1995251,T20170022879,1511913600000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,193900,324256,A,M,43,2,Drivers,1,Collision with vehicle,2,MOIRA,Country,N,Non Intersection,2570,Declared Road,,,1
1995252,T20190004969,1552608000000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,155600,43818,A,M,63,4,Motorcyclists,1,Collision with vehicle,2,YARRA RANGES,Melbourne - Outer East,I,Intersection,5779,Declared Road,,,1
1995253,T20190003547,1550880000000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,172400,29963,B,M,18,6,Bicyclists,1,Collision with vehicle,2,GLENELG,Country,I,Intersection,2620,Declared Road,,,1
1995254,T20170012320,1498176000000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,161000,318743,A,M,84,2,Drivers,1,Collision with vehicle,2,MOIRA,Country,I,Intersection,9999,Non Declared Road,,,1
1995255,T20190002189,1549238400000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,212300,341800,A,M,45,2,Drivers,4,Collision with a fixed object,1,MELTON,Melbourne - West,N,Non Intersection,9999,Non Declared Road,,,1
1995256,T20190005594,1553385600000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,090000,343525,A,M,49,4,Motorcyclists,4,Collision with a fixed object,1,GOLDEN PLAINS,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995257,T20190003466,1550707200000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,140000,342515,A,M,68,4,Motorcyclists,5,Collision with some other object,1,TOWONG,Country,N,Non Intersection,2560,Declared Road,,,1
1995258,T20180024030,1545350400000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,223000,340504,01,M,29,1,Pedestrians,2,Struck Pedestrian,3,CARDINIA,Melbourne - South East,N,Non Intersection,2580,Declared Road,,,1
1995259,T20190005099,1552780800000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,131500,343337,A,F,68,2,Drivers,1,Collision with vehicle,2,GOLDEN PLAINS,Country,N,Non Intersection,2590,Declared Road,,,1
1995260,T20170024688,1514246400000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,105000,73791,B,M,52,2,Drivers,1,Collision with vehicle,2,COLAC OTWAY,Country,I,Intersection,5014,Declared Road,,,1
1995261,T20190001578,1548460800000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,143000,341591,A,M,59,4,Motorcyclists,5,Collision with some other object,1,EAST GIPPSLAND,Country,N,Non Intersection,5559,Declared Road,,,1
1995262,T20180008199,1525132800000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,115800,329896,A,M,54,4,Motorcyclists,1,Collision with vehicle,2,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,5791,Declared Road,,,1
1995263,T20180021863,1542758400000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,174000,343788,A,M,26,4,Motorcyclists,6,Vehicle overturned (no collision),1,LATROBE,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995264,T20190001992,1548979200000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,194700,54123,A,M,85,2,Drivers,1,Collision with vehicle,2,MILDURA,Country,I,Intersection,2610,Declared Road,,,2
1995265,T20190003074,1550361600000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,120000,342304,02,F,17,3,Passengers,1,Collision with vehicle,2,KNOX,Melbourne - Outer East,N,Non Intersection,2090,Declared Road,,,1
1995266,T20190003894,1551312000000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,090000,343907,A,M,60,7,Drivers,4,Collision with a fixed object,1,MACEDON RANGES,Bendigo,N,Non Intersection,9999,Non Declared Road,,,1
1995267,T20180006161,1522454400000,1514764800000,1523836800000,Include in Current Equivalent Period Road Deaths Reporting,145000,328702,A,M,56,4,Motorcyclists,1,Collision with vehicle,2,MURRINDINDI,Country,N,Non Intersection,4961,Declared Road,,,1
1995268,T20150024246,1448236800000,1420070400000,1429142400000,Include in Future Road Deaths Reporting,223000,296452,01,M,18,3,Passengers,1,Collision with vehicle,2,CAMPASPE,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995269,T20170007426,1491955200000,1483228800000,1492300800000,Include in Current Equivalent Period Road Deaths Reporting,163000,299403,01,F,75,3,Passengers,1,Collision with vehicle,2,GOLDEN PLAINS,Country,I,Intersection,2590,Declared Road,,,2
1995270,T20170007426,1491955200000,1483228800000,1492300800000,Include in Current Equivalent Period Road Deaths Reporting,163000,299403,A,M,79,2,Drivers,1,Collision with vehicle,2,GOLDEN PLAINS,Country,I,Intersection,2590,Declared Road,,,2
1995271,T20170024452,1513900800000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,075500,325104,A,F,22,2,Drivers,1,Collision with vehicle,2,CORANGAMITE,Country,N,Non Intersection,5032,Declared Road,,,1
1995272,T20180004441,1517788800000,1514764800000,1523836800000,Include in Current Equivalent Period Road Deaths Reporting,060000,328704,A,M,40,6,Bicyclists,4,Collision with a fixed object,1,BOROONDARA,Melbourne - Inner East,N,Non Intersection,9999,Non Declared Road,,,1
1995273,T20180020617,1541203200000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,093200,338514,A,M,37,4,Motorcyclists,4,Collision with a fixed object,1,NILLUMBIK,Melbourne - North East,N,Non Intersection,9999,Non Declared Road,,,1
1995274,T20170022878,1511913600000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,145000,324851,A,F,35,2,Drivers,1,Collision with vehicle,2,GLENELG,Country,N,Non Intersection,5045,Declared Road,,,1
1995275,T20190003540,1550880000000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,152300,42680,A,F,89,2,Drivers,1,Collision with vehicle,3,YARRA RANGES,Melbourne - Outer East,I,Intersection,5798,Declared Road,,,1
1995276,T20160025394,1476316800000,1451606400000,1460764800000,Include in Future Road Deaths Reporting,170000,311008,B,M,58,6,Bicyclists,7,Fall from or in moving vehicle,1,KNOX,Melbourne - Outer East,N,Non Intersection,9999,Non Declared Road,,,1
1995277,T20160001961,1453939200000,1451606400000,1460764800000,Include in Current Equivalent Period Road Deaths Reporting,144800,298984,A,F,22,2,Drivers,1,Collision with vehicle,2,CARDINIA,Melbourne - South East,N,Non Intersection,5770,Declared Road,,,1
1995278,T20180021540,1542412800000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,130300,339256,A,M,72,4,Motorcyclists,4,Collision with a fixed object,1,BAW BAW,Country,N,Non Intersection,5535,Declared Road,,,1
1995279,T20170022141,1511136000000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,170000,324689,01,M,82,1,Pedestrians,2,Struck Pedestrian,1,DANDENONG,Melbourne - South East,N,Non Intersection,2400,Declared Road,,,1
1995280,T20180013336,1531699200000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,112600,339550,A,F,60,2,Drivers,4,Collision with a fixed object,1,ALPINE,Country,N,Non Intersection,4005,Declared Road,,,1
1995281,T20180003753,1519603200000,1514764800000,1523836800000,Include in Current Equivalent Period Road Deaths Reporting,215500,327448,01,M,25,1,Pedestrians,1,Collision with vehicle,3,HUME,Melbourne - North West,N,Non Intersection,5820,Declared Road,,,1
1995282,T20150009322,1430611200000,1420070400000,1429142400000,Include in Future Road Deaths Reporting,101100,288617,A,M,19,2,Drivers,1,Collision with vehicle,2,MOORABOOL,Ballarat,N,Non Intersection,2590,Declared Road,,,1
1995283,T20180020188,1540598400000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,125000,338225,A,M,68,4,Motorcyclists,4,Collision with a fixed object,1,MOIRA,Country,N,Non Intersection,2640,Declared Road,,,1
1995284,T20150025376,1449446400000,1420070400000,1429142400000,Include in Future Road Deaths Reporting,180000,22636,A,M,27,2,Drivers,1,Collision with vehicle,2,MILDURA,Country,I,Intersection,2610,Declared Road,,,1
1995285,T20180021581,1542412800000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,230500,339258,04,M,21,1,Pedestrians,2,Struck Pedestrian,1,CASEY,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1
1995286,T20180018477,1538352000000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,163000,478,01,F,69,1,Pedestrians,2,Struck Pedestrian,1,BOROONDARA,Melbourne - Inner East,I,Intersection,5721,Declared Road,,,1
1995287,T20190000389,1546819200000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,203700,73936,A,M,44,2,Drivers,4,Collision with a fixed object,1,GLENELG,Country,I,Intersection,9999,Non Declared Road,,,1
1995288,T20180002925,1518652800000,1514764800000,1523836800000,Include in Current Equivalent Period Road Deaths Reporting,110700,29451,B,F,27,2,Drivers,1,Collision with vehicle,2,KNOX,Melbourne - Outer East,I,Intersection,5798,Declared Road,,,1
1995289,T20190002791,1550016000000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,141500,342184,01,F,86,3,Passengers,4,Collision with a fixed object,1,MACEDON RANGES,Country,N,Non Intersection,9999,Non Declared Road,,,2
1995290,T20190002791,1550016000000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,141500,342184,A,M,87,2,Drivers,4,Collision with a fixed object,1,MACEDON RANGES,Country,N,Non Intersection,9999,Non Declared Road,,,2
1995291,T20150006147,1426982400000,1420070400000,1429142400000,Include in Current Equivalent Period Road Deaths Reporting,220000,288826,A,M,44,2,Drivers,4,Collision with a fixed object,1,SURF COAST,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995292,T20180014002,1532476800000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,193000,332849,A,F,71,2,Drivers,1,Collision with vehicle,2,BENDIGO,Bendigo,N,Non Intersection,2540,Declared Road,,,1
1995293,T20170013383,1499558400000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,130500,319170,01,F,33,3,Passengers,1,Collision with vehicle,2,CARDINIA,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1
1995294,T20170009360,1494374400000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,220000,318610,A,F,27,2,Drivers,4,Collision with a fixed object,1,CARDINIA,Melbourne - South East,N,Non Intersection,5774,Declared Road,,,1
1995295,T20180013913,1532390400000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,181500,332800,01,M,46,1,Pedestrians,2,Struck Pedestrian,1,MARIBYRNONG,Melbourne - West,N,Non Intersection,9999,Non Declared Road,,,1
1995296,T20140001034,1389830400000,1388534400000,1397606400000,Include in Current Equivalent Period Road Deaths Reporting,150000,265827,A,F,65,2,Drivers,4,Collision with a fixed object,1,ARARAT,Country,N,Non Intersection,5100,Declared Road,,,1
1995297,T20150004889,1425686400000,1420070400000,1429142400000,Include in Current Equivalent Period Road Deaths Reporting,034900,287951,01,M,25,1,Pedestrians,2,Struck Pedestrian,1,MITCHELL,Country,N,Non Intersection,2550,Declared Road,,,1
1995298,T20180003347,1519171200000,1514764800000,1523836800000,Include in Current Equivalent Period Road Deaths Reporting,083500,329501,01,F,15,3,Passengers,4,Collision with a fixed object,1,CARDINIA,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1
1995299,T20150012858,1434499200000,1420070400000,1429142400000,Include in Future Road Deaths Reporting,120500,36121,B,M,17,6,Bicyclists,1,Collision with vehicle,2,MORNINGTON PENINSULA,Metro,I,Intersection,5754,Declared Road,,,1
1995300,T20180021505,1542326400000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,133000,339352,B,M,62,4,Motorcyclists,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995301,T20140004905,1394236800000,1388534400000,1397606400000,Include in Current Equivalent Period Road Deaths Reporting,214500,270381,01,M,18,3,Passengers,1,Collision with vehicle,2,CAMPASPE,Country,N,Non Intersection,5377,Declared Road,,,4
1995302,T20140004905,1394236800000,1388534400000,1397606400000,Include in Current Equivalent Period Road Deaths Reporting,214500,270381,02,M,51,3,Passengers,1,Collision with vehicle,2,CAMPASPE,Country,N,Non Intersection,5377,Declared Road,,,4
1995303,T20140004905,1394236800000,1388534400000,1397606400000,Include in Current Equivalent Period Road Deaths Reporting,214500,270381,A,M,19,2,Drivers,1,Collision with vehicle,2,CAMPASPE,Country,N,Non Intersection,5377,Declared Road,,,4
1995304,T20140004905,1394236800000,1388534400000,1397606400000,Include in Current Equivalent Period Road Deaths Reporting,214500,270381,B,M,53,2,Drivers,1,Collision with vehicle,2,CAMPASPE,Country,N,Non Intersection,5377,Declared Road,,,4
1995305,T20180010950,1528675200000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,013000,67571,01,M,25,3,Passengers,1,Collision with vehicle,2,STONNINGTON,Melbourne - Inner,I,Intersection,2510,Declared Road,,,1
1995306,T20190001325,1548115200000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,195100,341392,A,M,62,4,Motorcyclists,4,Collision with a fixed object,1,MELTON,Melbourne - West,N,Non Intersection,9999,Non Declared Road,,,1
1995307,T20180000514,1515456000000,1514764800000,1523836800000,Include in Current Equivalent Period Road Deaths Reporting,223000,331425,A,F,39,2,Drivers,1,Collision with vehicle,2,SHEPPARTON,Country,N,Non Intersection,2590,Declared Road,,,1
1995308,T20180008488,1525478400000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,023000,330088,01,F,41,3,Passengers,8,No collision and no object struck,1,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,2300,Declared Road,,,1
1995309,T20180017966,1537228800000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,131200,795,A,M,75,2,Drivers,1,Collision with vehicle,3,MONASH,Melbourne - South East,I,Intersection,2290,Declared Road,,,1
1995310,T20190003695,1551052800000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,163000,342593,B,M,61,4,Motorcyclists,1,Collision with vehicle,4,MORNINGTON PENINSULA,Metro,N,Non Intersection,9999,Non Declared Road,,,1
1995311,T20180023626,1544832000000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,204500,340288,01,M,27,3,Passengers,4,Collision with a fixed object,1,WYNDHAM,Melbourne - West,N,Non Intersection,7026,Declared Road,,,2
1995312,T20180023626,1544832000000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,204500,340288,A,M,27,2,Drivers,4,Collision with a fixed object,1,WYNDHAM,Melbourne - West,N,Non Intersection,7026,Declared Road,,,2
1995313,T20180023735,1545004800000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,185500,340432,A,M,52,2,Drivers,1,Collision with vehicle,3,HORSHAM,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995314,T20180001358,1516579200000,1514764800000,1523836800000,Include in Current Equivalent Period Road Deaths Reporting,150000,326312,B,M,57,2,Drivers,1,Collision with vehicle,3,GLENELG,Country,N,Non Intersection,5045,Declared Road,,,1
1995315,T20190002977,1550275200000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,020800,342318,02,M,24,1,Pedestrians,2,Struck Pedestrian,1,LATROBE,Country,N,Non Intersection,2510,Declared Road,,,1
1995316,T20190005668,1553472000000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,063500,343576,B,M,55,2,Drivers,1,Collision with vehicle,2,MOORABOOL,Ballarat,N,Non Intersection,5060,Declared Road,,,1
1995317,T20190002256,1549411200000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,080000,341826,A,M,24,4,Motorcyclists,1,Collision with vehicle,3,MONASH,Melbourne - South East,N,Non Intersection,2000,Declared Road,,,1
1995318,T20180024317,1545782400000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,125300,64891,01,F,89,1,Pedestrians,2,Struck Pedestrian,1,MARIBYRNONG,Melbourne - West,I,Intersection,9999,Non Declared Road,,,1
1995319,T20150019699,1442880000000,1420070400000,1429142400000,Include in Future Road Deaths Reporting,143500,54423,A,M,43,2,Drivers,1,Collision with vehicle,2,ARARAT,Country,I,Intersection,2670,Declared Road,,,1
1995320,T20180017351,1536883200000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,131200,313140,B,F,77,2,Drivers,1,Collision with vehicle,2,MANSFIELD,Country,I,Intersection,5498,Declared Road,,,1
1995321,T20170021021,1509667200000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,164500,323994,A,F,46,2,Drivers,1,Collision with vehicle,2,CORANGAMITE,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995322,T20190005050,1552694400000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,175600,343354,01,M,36,3,Passengers,4,Collision with a fixed object,1,MACEDON RANGES,Country,N,Non Intersection,5158,Declared Road,,,2
1995323,T20190005050,1552694400000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,175600,343354,02,M,31,3,Passengers,4,Collision with a fixed object,1,MACEDON RANGES,Country,N,Non Intersection,5158,Declared Road,,,2
1995324,T20180017275,1536796800000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,102000,341496,A,F,72,2,Drivers,4,Collision with a fixed object,1,SOUTH GIPPSLAND,Country,O,Unknown,-1,Declared Road,,,1
